Distance,Qfactor_Diff,ER_Diff
2311.295,4012.146,7.741
7483.29,729.061,1.789
2551.875,1608.733,2.247
7096.858,730.606,0.449
6713.616,1608.983,1.777
6334.141,1608.733,1.249
5959.154,1611.333,4.017
5589.558,1607.583,3.822
5226.497,2683.611,7.154
4871.433,2684.722,4.724
4526.246,2683.889,5.574
4193.379,732.061,1.738
3876.004,2683.889,6.466
2518.2,730.333,0.943
3578.249,732.152,1.464
3305.418,2681.778,6.444
3064.177,2681.667,6.286
2862.523,1608.533,4.032
2709.312,1603.883,5.418
2613.076,725.152,1.699
2580.2,726.652,3.97
2613.076,2671.778,4.952
2709.312,1595.633,5.736
2862.567,1599.333,2.506
2551.875,2683.667,3.489
7748.992,729.652,1.956
7376.492,1608.933,2.518
7008.558,2681.333,4.99
6645.945,731.424,0.903
6289.576,731.561,2.795
5940.573,2681.722,4.452
5600.314,1610.783,4.871
5270.493,732.015,1.378
4953.196,1609.283,3.949
4650.986,729.652,3.001
7074.553,1605.733,2.65
2650.334,2678.722,5.803
4366.996,1609.783,2.316
4105.01,1610.833,4.531
3869.5,731.197,1.623
3665.573,1610.533,2.757
3498.755,3.625,0.377
3374.554,726.742,3.201
3297.789,1604.533,4.65
3271.8,726.424,0.493
3297.789,1599.433,3.796
3374.554,721.652,1.622
2806.811,1608.333,3.575
3498.79,2674.5,6.681
8035.069,1608.733,4.573
7676.464,1609.633,3.491
7323.616,2680.611,6.458
6977.396,1609.333,6.778
6638.842,1608.983,5.201
6309.19,2682.889,6.735
5989.907,1608.383,2.456
5682.743,731.242,3.128
5389.769,1609.283,5.051
7273.884,1609.833,3.671
5113.427,1609.533,3.137
4856.554,1609.683,6.2
4622.399,1609.483,5.73
4414.578,1607.433,4.083
4236.967,2.167,0.279
4093.501,729.97,5.198
3987.866,2681.444,7.288
3923.121,1603.733,6.238
3901.3,624.628,1.629
3923.121,1599.683,5.067
6875.693,729.879,1.296
3987.866,720.242,2.91
4093.531,1598.383,4.825
8358.902,2683.222,5.139
8014.8,2684.889,6.372
7677.516,1608.983,4.973
7347.991,1609.583,6.394
7027.314,2683.722,6.615
6716.754,1607.983,5.131
6417.78,1609.933,6.253
6132.086,1609.783,6.882
6479.382,729.697,1.654
5861.615,1608.433,4.648
5608.569,2684.056,7.389
5375.41,2684.333,6.791
5164.832,1609.483,7.406
4979.7,1607.383,4.794
4822.945,2683.222,6.112
4697.41,2684.167,5.883
4605.648,1606.583,6.734
4549.702,1605.833,5.496
4530.9,1605.833,1.467
6085.318,2685.722,6.874
4549.702,2671.556,6.217
4605.648,1595.933,5.644
4697.437,1598.933,7.237
8716.217,2681.0,6.249
8386.788,2681.056,6.573
8065.076,2679.556,5.854
7752.042,1608.883,4.005
7448.78,2.0,0.424
7156.534,2680.889,4.097
6876.706,1610.533,3.687
5693.968,2677.889,5.142
6610.875,1.667,1.031
6360.795,730.652,1.566
5915.76,1.5,1.509
5725.092,2680.5,5.906
5558.651,1610.033,2.697
